39, State-gov,2, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,11,1,40, United-States, <=50K
50, Self-emp-not-inc,2, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1,13, United-States, <=50K
38, Private,5, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,1,40, United-States, <=50K
53, Private,6, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,1,40, United-States, <=50K
28, Private,8, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,1,40, Cuba, <=50K
37, Private,7, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,1,40, United-States, <=50K
49, Private,4, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,1,16, Jamaica, <=50K
52, Self-emp-not-inc,5, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1,45, United-States, >50K
31, Private,1, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,70,1,50, United-States, >50K
42, Private,4, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,26,1,40, United-States, >50K
37, Private,7, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1,80, United-States, >50K
30, State-gov,4, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,1,40, India, >50K
23, Private,3, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,1,30, United-States, <=50K
32, Private,5, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,0,1,50, United-States, <=50K
40, Private,3, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1,40, ?, >50K
34, Private,6, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,1,45, Mexico, <=50K
25, Self-emp-not-inc,4, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,1,35, United-States, <=50K
32, Private,5, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,1,40, United-States, <=50K
38, Private,1, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,0,1,50, United-States, <=50K
43, Self-emp-not-inc,7, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,1,45, United-States, >50K
40, Private,5, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,60, United-States, >50K
54, Private,8, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,0,1,20, United-States, <=50K
35, Federal-gov,2, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,1,40, United-States, <=50K
43, Private,3, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,-10,1,40, United-States, <=50K
59, Private,3, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,0,1,40, United-States, <=50K
56, Local-gov,5, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,1,40, United-States, >50K
19, Private,4, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,1,40, United-States, <=50K
54, ?,5, Some-college,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,0,1,60, South, >50K
39, Private,9, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,1,80, United-States, <=50K
49, Private,5, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1,40, United-States, <=50K
23, Local-gov,5, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,0,1,52, United-States, <=50K
20, Private,7, Some-college,10, Never-married, Sales, Own-child, Black, Male,0,1,44, United-States, <=50K
45, Private,10, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,-7,1,40, United-States, <=50K
30, Federal-gov,1, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,1,40, United-States, <=50K
22, State-gov,1, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,0,1,15, United-States, <=50K
48, Private,1, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0,1,40, Puerto-Rico, <=50K
21, Private,1, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,1,40, United-States, <=50K
19, Private,1, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,1,25, United-States, <=50K
31, Private,1, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,1,38, ?, >50K
48, Self-emp-not-inc,1, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,40, United-States, <=50K
31, Private,1, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1,43, United-States, <=50K
53, Self-emp-not-inc,1, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,40, United-States, <=50K
24, Private,1, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,1,50, United-States, <=50K
49, Private,1, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,1,40, United-States, <=50K
25, Private,1, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,1,35, United-States, <=50K
57, Federal-gov,1, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,1,40, United-States, >50K
53, Private,1, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1,38, United-States, <=50K
44, Private,1, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,1,40, United-States, <=50K
